"Fox News",
"The Wall Street Journal",
"The National Review",
"The American Conservative",
"Breitbart News",
"The Daily Caller",
"Newsmax",
"The Federalist",
"Townhall",
"The Washington Times",
"RedState",
"The American Spectator",
"The Daily Wire",
"OANN (One America News Network)",
"The Blaze",
"Rush Limbaugh Show",
"Sean Hannity Show",
"Bill O'Reilly",
"Drudge Report",
"InfoWars"
